
 Lista de Imóveis da Caixa;;Data de geração:;19/09/2025;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 1444401798057 ;AP ;MACAPA ;JARDIM MARCO ZERO ;AVENIDA MARIA GEOVANETE PINHEIRO BORGES DA SILVA, N. 547, LT 48 QD 96 ST 11 ;282.264,79;840.500,00;66.42;Casa, 0.00 de área total, 301.20 de área privativa, 360.00 de área do terreno,  4 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444401798057
 10198528 ;AP ;MACAPA ;NOVO BURITIZAL ;AVENIDA AURORA FERREIRA DA COSTA, N. 2106, ST 10, QD 64, LT 13 ;280.482,02;489.000,00;42.65;Casa, 0.00 de área total, 149.55 de área privativa, 300.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10198528
 8065800002065 ;AP ;MACAPA ;JARDIM MARCO ZERO ;RUA SATURNO, N. SN, QD90, LT15 ;196.000,00;196.000,00;0.00;Casa, 54.21 de área total, 54.21 de área privativa, 308.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8065800002065
 8444415861021 ;AP ;MACAPA ;UNIVERSIDADE ;RODOVIA JOSMAR CHAVES PINTO, N. SN, Apto 104, TIPO B BL I PAV 01 ;231.000,00;231.000,00;0.00;Apartamento, 136.28 de área total, 57.82 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444415861021
