
 Lista de Imóveis da Caixa;;Data de geração:;19/09/2025;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8444405226935 ;MG ;ARACUAI ;ALTO SANTUARIO ;RUA MATO GROSSO, N. SN, . ;96.809,49;165.000,00;41.33;Casa, 0.00 de área total, 99.20 de área privativa, 273.61 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444405226935
 1444418273149 ;MG ;ARAGUARI ;CENTRO ;PRACA GAIOSO NEVES, N. 208, ;602.262,01;945.000,00;36.27;Casa, 0.00 de área total, 225.32 de área privativa, 357.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), 1 lavabo(s), cozinha, 2 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444418273149
 10217580 ;MG ;ARAGUARI ;SEWA ;RUA A, N. SN, QD 01, LT 20 ;115.000,00;115.000,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 216.08 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10217580
 10217588 ;MG ;ARAGUARI ;SEWA ;RUA A, N. SN, QD 01, LT 21 ;116.000,00;116.000,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 222.09 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10217588
 10217589 ;MG ;ARAGUARI ;SEWA ;RUA A, N. S/N, QD 01 LT 22 LOT JARDIM MILANI ;130.000,00;130.000,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 225.26 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10217589
 10217590 ;MG ;ARAGUARI ;SEWA ;RUA A, N. SN, QD 01, LT 23 ;126.000,00;126.000,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 220.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10217590
 10217591 ;MG ;ARAGUARI ;SEWA ;RUA A, N. SN, QD 01, LT 24 ;120.000,00;120.000,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 220.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10217591
 8444428478213 ;MG ;ARAGUARI ;NOVO HORIZONTE ;RUA RIO DE JANEIRO, N. 600, LT 11-A QD 13 ;226.000,00;226.000,00;0.00;Casa, 100.85 de área total, 63.35 de área privativa, 172.50 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444428478213
 1444417366950 ;MG ;ARAPORA ;RES PARIS PARK ; ALAMEDA JARDINS DE LUXEMBURGO, N. SN, LT 30 QD 05 ;175.000,00;175.000,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 300.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444417366950
 8444409042294 ;MG ;ARCOS ;RESID PINHEIROS ;RUA 03, N. 20, LT 14B QD 03 ;190.000,00;190.000,00;0.00;Casa, 0.00 de área total, 60.60 de área privativa, 150.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444409042294
 8444424711843 ;MG ;ARCOS ;FLORESTA ;RUA DAS MAGNOLIAS, N. SN, LT 01 43 42E QD 26 ;124.605,04;37.000,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 130.50 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444424711843
 8444414147570 ;MG ;AREADO ;ROSÁRIO ;R BAHIA, N. 691, ;80.566,58;100.000,00;19.44;Casa, 0.00 de área total, 48.45 de área privativa, 120.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444414147570
 8444423243862 ;MG ;AREADO ;SÃO VICENTE ; RUA PADRE ANTONIO HENRIQUES DO VALE, N. 877, 877 ;144.604,75;160.000,00;9.63;Casa, 76.50 de área total, 52.50 de área privativa, 144.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444423243862
 8444404216871 ;MG ;AREADO ;JD MONTE VERDE ;RUA 1, N. 419, LT C QD A ;182.000,00;182.000,00;0.00;Casa, 63.40 de área total, 63.40 de área privativa, 132.60 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444404216871
 8444408019299 ;MG ;AREADO ;JD OURO VERDE ; RUA HUM, N. 62, LT 6, QD C ;150.000,00;150.000,00;0.00;Casa, 130.00 de área total, 70.00 de área privativa, 200.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444408019299
 8444408664003 ;MG ;AREADO ;ROSÁRIO ; RUA DOIS, N. 100, LT 16, QD A ;115.000,00;115.000,00;0.00;Casa, 62.60 de área total, 62.60 de área privativa, 125.10 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444408664003
 8444410071979 ;MG ;AREADO ;ROSÁRIO ; RUA NOVE, N. 39, LT 06, QD L ;185.000,00;185.000,00;0.00;Casa, 69.75 de área total, 69.75 de área privativa, 132.53 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444410071979
 8444425807720 ;MG ;AREADO ;LOT RECANTO VERDE ;RUA TRES, N. 99, LT 13 QD D ;190.000,00;190.000,00;0.00;Casa, 0.00 de área total, 66.08 de área privativa, 163.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444425807720
 8444401368662 ;MG ;AREADO ;CENTRO ; RUA ALBINO TEODORO, N. 252, ;84.000,00;84.000,00;0.00;Casa, 49.00 de área total, 49.00 de área privativa, 132.65 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444401368662
 8444403674205 ;MG ;ARGIRITA ;CENTRO ; RUA EMILIO VITOI, N. 207, 207 ;109.512,38;177.318,00;38.24;Casa, 0.00 de área total, 115.53 de área privativa, 359.11 de área do terreno,  4 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444403674205
