
 Lista de Imóveis da Caixa;;Data de geração:;19/09/2025;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 1444417769027 ;AL ;ARAPIRACA ;CANAFISTULA ; RUA SOB O CÓDIGO MUNICIPAL 0114/171, N. 112, LT 10 QD A ;160.285,28;251.501,15;36.27;Casa, 98.83 de área total, 98.83 de área privativa, 160.00 de área do terreno,  3 qto(s), a.serv, WC, 2 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444417769027
 10137929 ;AL ;ARAPIRACA ;BOA VISTA ;RODOVIA AL 110/ ESQUINA RUA ADJALMA SILVA, N. S/N ;340.000,00;340.000,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 492.90 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10137929
 8444402891997 ;AL ;ARAPIRACA ;BOA VISTA ;RUA EXISTENTE, N. 703, LT 03 QD E ;147.000,00;147.000,00;0.00;Casa, 98.74 de área total, 98.74 de área privativa, 157.50 de área do terreno,  1 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444402891997
 8555524723098 ;AL ;ARAPIRACA ;MASSARANDUBA ; RUA PROJETADA 10, ROD AL-115, N. 38, 38, QD11 LT03 ;113.845,48;113.845,48;0.00;Casa, 42.15 de área total, 42.15 de área privativa, 126.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555524723098
 8444421583135 ;AL ;ARAPIRACA ;CANAFISTULA ; RUA EM PROJETO B, N. S/N, LT 34, QD G ;122.704,38;115.000,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 300.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444421583135
 1555531571917 ;AL ;ARAPIRACA ;CANAÃ ; RUA ANTONIO JUVINO DA SILVA, N. 332, ;119.042,19;110.000,00;0.00;Casa, 120.00 de área total, 120.00 de área privativa, 120.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555531571917
 1444418382924 ;AL ;ARAPIRACA ;ZELIA BARBOSA ROCHA ;RUA EM PROJETO H, N. S/N, LT 9 - QD H ;705.202,66;360.000,00;0.00;Casa, 0.00 de área total, 140.00 de área privativa, 300.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444418382924
 8555513904398 ;AL ;CORURIPE ;Alto do Cruzeiro ; RUA PROJETADA C, N. SN, AREA 59 ;145.728,47;238.000,00;38.77;Casa, 106.82 de área total, 106.82 de área privativa, 127.50 de área do terreno,  3 qto(s), varanda, WC, 2 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555513904398
 8444420606417 ;AL ;CORURIPE ;ALTO DA SAUDADE ; ROD ENG. GUTTEMBERG BREDA NETO AL101 SUL, N. 51, QDD LT19 ;110.477,96;110.000,00;0.00;Casa, 66.85 de área total, 66.85 de área privativa, 153.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444420606417
 8444417401486 ;AL ;FEIRA GRANDE ;CENTRO ; RUA PROJETADA 08, N. 39, F06 ;87.819,45;150.000,00;41.46;Casa, 0.00 de área total, 73.25 de área privativa, 168.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444417401486
 8444424033160 ;AL ;FLEXEIRAS ;FLEXEIRAS ;RUA JOSE GOMES DE LIMA, N. SN, . ;35.879,53;112.000,00;67.97;Casa, 0.00 de área total, 74.13 de área privativa, 77.43 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444424033160
 8444428736891 ;AL ;GIRAU DO PONCIANO ;CENTRO ;RUA PROJETADA 12, N. 94, LT 33 QD EE ;62.303,06;120.000,00;48.09;Casa, 0.00 de área total, 60.65 de área privativa, 126.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), sacada, cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444428736891
 8444417439378 ;AL ;GIRAU DO PONCIANO ;COLINAS ARIZONA I ; RUA PROJETADA 18, N. 181, LT 01 QD II ;75.305,50;130.000,00;42.08;Casa, 81.95 de área total, 81.95 de área privativa, 424.49 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444417439378
 8444429995963 ;AL ;GIRAU DO PONCIANO ;ZONA URBANA ;RUA PROJETADA 08, N. 75, LT 14 QD BB ;86.648,52;148.000,00;41.46;Casa, 0.00 de área total, 82.84 de área privativa, 189.87 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444429995963
 8444427060835 ;AL ;JARAMATAIA ;POVOADO CAMPO ALEGRE ;RUA PROJETADA, N. 7, . ;56.999,75;105.000,00;45.72;Casa, 0.00 de área total, 73.72 de área privativa, 97.77 de área do terreno,  2 qto(s), WC, 2 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444427060835
 8444426489854 ;AL ;JARAMATAIA ;POVOADO CAMPO ALEGRE ; RUA PROJETADA, N. 01, ;65.921,81;115.000,00;42.68;Casa, 73.72 de área total, 73.72 de área privativa, 99.63 de área do terreno,  2 qto(s), WC, 2 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444426489854
 8444427280312 ;AL ;JARAMATAIA ;POVOADO CAMPO ALEGRE ; RUA PROJETADA 05, N. 05, ;55.207,18;95.362,72;42.11;Casa, 73.72 de área total, 73.72 de área privativa, 92.34 de área do terreno,  2 qto(s), WC, 2 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444427280312
