
 Lista de Imóveis da Caixa;;Data de geração:;19/09/2025;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8444429185090 ;RR ;BOA VISTA ;CIDADE SATELITE ;AVENIDA JARDIM, N. 1336, Apto 303, BL 10, LT 526, QD 719 ;57.891,78;100.000,00;42.11;Apartamento, 50.17 de área total, 44.19 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444429185090
 8444427415307 ;RR ;BOA VISTA ;LAURA MOREIRA ;RUA R  3, N. 155, QD 129 ZONA 18 ;38.340,10;66.000,00;41.91;Terreno, 0.00 de área total, 0.00 de área privativa, 250.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444427415307
 1444410942009 ;RR ;BOA VISTA ;CENTENARIO ;AVENIDA PARMA, N. SN, LT 338 QD 224 ;167.932,32;263.500,00;36.27;Terreno, 0.00 de área total, 0.00 de área privativa, 384.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444410942009
 8444419892231 ;RR ;BOA VISTA ;DR. AIRTON ROCHA ;RUA D, N. 640, LT 39 QD 102 ;112.695,25;98.450,00;0.00;Casa, 0.00 de área total, 42.35 de área privativa, 360.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444419892231
 8444411844190 ;RR ;SAO LUIZ ;CENTRO ;RUA JOAQUIM VALERIO, N. S/N, QD 14, LT 45 ;81.743,80;280.000,00;70.81;Casa, 0.00 de área total, 253.92 de área privativa, 765.00 de área do terreno,  2 qto(s), varanda, WC, 2 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444411844190
 1444408494614 ;RR ;SAO LUIZ ;CENTRO ;AVENIDA SÃO LUIZ, N. SN, LT 306, QD 06 ;169.053,00;425.944,73;60.32;Casa, 264.00 de área total, 264.00 de área privativa, 240.00 de área do terreno,  3 qto(s), WC, 2 sala(s).;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444408494614
