
 Lista de Imóveis da Caixa;;Data de geração:;19/09/2025;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8444427293465 ;SP ;ALVARES MACHADO ;PARQUE RESIDENCIAL UNIAO ;RUA JOAO DA SILVA, N. 329, 329, LOTE  E1-B ;166.183,75;56.000,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 126.21 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444427293465
 8444409326268 ;SP ;ALVARO DE CARVALHO ;CENTRO ;RUA ANTONIO PANTAROTO, N. 27, LT 19 QD 2AP ;39.385,96;80.000,00;50.77;Casa, 0.00 de área total, 54.50 de área privativa, 290.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444409326268
 8444423495632 ;SP ;AMERICANA ;MORADA DO SOL ;AVENIDA SAO JERONIMO, N. 2750, Apto 401, 3 PAVIMENTO BL 03 VG N 973 ;98.192,93;165.700,00;40.75;Apartamento, 90.58 de área total, 38.92 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444423495632
 8444424367352 ;SP ;AMERICANA ;MORADA DO SOL ;AVENIDA SAO JERONIMO, N. 2750, Apto 401, BL 19 VAGA 674 ;102.329,41;172.680,30;40.75;Apartamento, 79.08 de área total, 38.92 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444424367352
 8787702650246 ;SP ;AMERICANA ;MORADA DO SOL ;AVENIDA SAO JERONIMO, N. 2750, Apto 303, 2º PAVIMENTO - BLOCO 02 ;106.776,34;180.184,46;40.75;Apartamento, 0.00 de área total, 38.92 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787702650246
 8787707583482 ;SP ;AMERICANA ;MORADA DO SOL ;AVENIDA SAO JERONIMO, N. 2750, Apto 203,  BL 21 ;99.059,89;167.163,00;40.75;Apartamento, 0.00 de área total, 38.92 de área privativa, 0.00 de área do terreno, 2 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787707583482
 8787710779864 ;SP ;AMERICANA ;JARDIM DA BALSA II ;RUA APARECIDA TOGNETTA BASSETTE, N. 1555, Apto 31, BL C ;94.815,14;160.000,00;40.75;Apartamento, 66.39 de área total, 49.03 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787710779864
 8444432535960 ;SP ;AMERICANA ;JARDIM RECANTO ;VIA FRANCISCO BOLDRINI, N. 100, Apto 204, BL 48 - MATRICULA ANTIGA VIA PROJETAD ;102.460,18;172.900,96;40.75;Apartamento, 74.71 de área total, 45.95 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444432535960
 1444417395127 ;SP ;AMERICANA ;JARDIM BOER II ;RUA CORDIALIDADE, N. S/N, LT 25 QD 03 ZR3 ;78.254,64;129.500,00;39.58;Terreno, 0.00 de área total, 0.00 de área privativa, 150.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444417395127
 8787704772675 ;SP ;AMERICANA ;MORADA DO SOL ;AVENIDA SAO JERONIMO, N. 2750, Apto 303, BL 06, GL A3B, VG 99 ;117.256,22;194.000,00;39.56;Apartamento, 90.58 de área total, 79.08 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787704772675
 8787706921368 ;SP ;AMERICANA ;MORADA DO SOL ;AVENIDA SAO JERONIMO, N. 2750, Apto 302, BL 14 VAGA 747 ;113.025,32;187.000,00;39.56;Apartamento, 50.42 de área total, 38.92 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787706921368
 8787707542182 ;SP ;AMERICANA ;MORADA DO SOL ;AVENIDA SAO JERONIMO, N. 2750, Apto 308, BL 14 GLB A3B ;114.834,94;189.994,00;39.56;Apartamento, 90.58 de área total, 38.92 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787707542182
 8787712509953 ;SP ;AMERICANA ;JARDIM BOER I ;RUA SABEDORIA, N. 130, Apto 26, BL 04 ;111.937,38;185.200,00;39.56;Apartamento, 93.03 de área total, 44.23 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787712509953
 8555538122199 ;SP ;AMERICANA ;JARDIM BERTONI ;RUA VALENCIA, N. 155, Apto 405, ;139.015,11;230.000,00;39.56;Apartamento, 90.53 de área total, 42.51 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555538122199
 8555538163260 ;SP ;AMERICANA ;JARDIM BERTONI ;RUA VALENCIA, N. 155, Apto 403, 3º PAVIMENTO - BLOCO 03 ;113.025,32;187.000,00;39.56;Apartamento, 90.53 de área total, 42.51 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555538163260
 8555539174680 ;SP ;AMERICANA ;JARDIM BERTONI ;RUA VALENCIA, N. 155, Apto 405, BL 31 VAGA N 567 ;116.651,81;193.000,00;39.56;Apartamento, 90.53 de área total, 42.51 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555539174680
 8555539648933 ;SP ;AMERICANA ;JARDIM BELA VISTA ;AVENIDA EUROPA, N. 928, Apto 16, TORRE 2 ;172.669,87;282.000,00;38.77;Apartamento, 129.93 de área total, 49.71 de área privativa, 0.01 de área do terreno, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555539648933
 10211751 ;SP ;AMERICANA ;VILA SANTA MARIA ;RUA FRANCA, N. 105 ;1.040.917,65;1.700.000,00;38.77;Casa, 0.00 de área total, 499.71 de área privativa, 660.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10211751
